"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"NUDT9"	"NUDT9"	"COPB2"	"DYRK1A"	"DYRK1A"	"PROK1"																					
"ARL6IP1"	"ARL6IP1"	"STING1"	"ERG"	"ERG"	"MGST3"																					
"POLH"	"POLH"	"F8"	"CD1B"	"CD1B"	"ABL2"																					
"CDCA4"	"CDCA4"	"UBOX5"	"FHIP2B"	"FHIP2B"	"RFX5"																					
"SDR16C5"	"SDR16C5"	"TNFAIP8L1"	"APOA2"	"APOA2"	"ENSA"																					
"CYTL1"	"CYTL1"	"SMYD3"	"MRPL10"	"MRPL10"	"ARNT"																					
"INSR"	"INSR"	"STAC3"	"CSRP1"	"CSRP1"	"POGZ"																					
"TMEM126B"	"TMEM126B"	"ROR1"	"CYB5R1"	"CYB5R1"	"OAZ3"																					
"SOSTDC1"	"SOSTDC1"	"KCNIP4"	"ALDH4A1"	"ALDH4A1"	"JTB"																					
"CHST11"	"CHST11"	"POMK"	"SPRR2G"	"SPRR2G"	"S100A7"																					
"TPPP"	"TPPP"	"CCIN"	"ATP6V0D1"	"ATP6V0D1"	"PKLR"																					
"POLR1C"	"POLR1C"	"CYP2R1"	"C16orf86"	"C16orf86"	"NVL"																					
"ASXL1"	"ASXL1"	"CENATAC"	"CCDC28B"	"CCDC28B"	"CALM2"																					
"SPATA46"	"SPATA46"	"CD300E"	"ST6GALNAC6"	"ST6GALNAC6"	"CHAC2"																					
"PAH"	"PAH"	"C17orf58"	"SHKBP1"	"SHKBP1"	"CIAO1"																					
"LDHAL6B"	"LDHAL6B"	"TMEM17"	"BRSK1"	"BRSK1"	"UBR3"																					
"SERF1A"	"SERF1A"	"AKR1C1"	"COX6B2"	"COX6B2"	"RHBDD1"																					
"ISG20"	"ISG20"	"FANCM"	"CHTOP"	"CHTOP"	"CTDSP1"																					
"BSG"	"BSG"	"UBQLN2"	"HK3"	"HK3"	"EAF1"																					
"DNAJB7"	"DNAJB7"	"ZDHHC11"	"PWWP3A"	"PWWP3A"	"GOLGA4"																					
"FGGY"	"FGGY"	"ADAT2"	"AP2M1"	"AP2M1"	"LIMD1"																					
"FIBP"	"FIBP"	"DUSP21"	"BDH1"	"BDH1"	"EIF2B5"																					
"KLHL6"	"KLHL6"	"MPHOSPH8"	"DBF4B"	"DBF4B"	"FIP1L1"																					
"RPL38"	"RPL38"	"NIF3L1"	"TNFSF13"	"TNFSF13"	"PLAC8"																					
"EIF1"	"EIF1"	"PTPN1"	"CCDC78"	"CCDC78"	"ENOPH1"																					
"PHC3"	"PHC3"	"GK2"	"STX5"	"STX5"	"SNCA"																					
"RBM4B"	"RBM4B"	"PRPF40A"	"SLC1A7"	"SLC1A7"	"UGT3A1"																					
"C1QTNF1"	"C1QTNF1"	"TPK1"	"PARS2"	"PARS2"	"SSBP2"																					
"IQCK"	"IQCK"	"HRH1"	"WNT4"	"WNT4"	"CDKAL1"																					
"LARP7"	"LARP7"	"S100A2"	"SLC30A7"	"SLC30A7"	"MLIP"																					
"NDUFA11"	"NDUFA11"	"ANXA4"	"OLFML2B"	"OLFML2B"	"DYNLT1"																					
"DCTN2"	"DCTN2"	"SND1"	"IL20"	"IL20"	"WTAP"																					
"ATG13"	"ATG13"	"DDI2"	"IL24"	"IL24"	"PSPH"																					
"CENPS"	"CENPS"	"GYPE"	"MRPL55"	"MRPL55"	"EPHA1"																					
"APOF"	"APOF"	"GZMM"	"CLHC1"	"CLHC1"	"LUC7L2"																					
"P2RY2"	"P2RY2"	"KRTAP26-1"	"SCNM1"	"SCNM1"	"CLTRN"																					
