"AD_TOTAL"	"AD_UP"	"AD_DOWN"	"earlyPD_TOTAL"	"earlyPD_UP"	"earlyPD_DOWN"	"MCI_TOTAL"	"MCI_UP"	"MCI_DOWN"	"MS_TOTAL"	"MS_UP"	"MS_DOWN"	"PD_TOTAL"	"PD_UP"	"PD_DOWN"	"rrMS_TOTAL"	"rrMS_UP"	"rrMS_DOWN"	"spMS_TOTAL"	"spMS_UP"	"spMS_DOWN"	"Sexmale_TOTAL"	"Sexmale_UP"	"Sexmale_DOWN"	"Age_TOTAL"	"Age_UP"	"Age_DOWN"
"HS3ST1"			"SUGCT"	"SUGCT"	"CA3"																					
"TMEM176A"			"RPS6KB2"	"RPS6KB2"	"ALDH7A1"																					
"NDUFAF7"			"CTDNEP1"	"CTDNEP1"	"C8orf34"																					
"MEOX1"			"ARL4D"	"ARL4D"	"ALDH1A1"																					
"RPAP3"			"ZNF683"	"ZNF683"	"FBP1"																					
"ACSM3"			"GPX2"	"GPX2"	"PGAP4"																					
"GDE1"			"HMGB4"	"HMGB4"	"PTCHD1"																					
"MAP3K14"			"COX8A"	"COX8A"	"PIGO"																					
"ELAC2"			"ZSCAN2"	"ZSCAN2"	"ARHGAP12"																					
"MARK4"			"DNAJC30"	"DNAJC30"	"SKA3"																					
"PSMB1"			"WDR25"	"WDR25"	"SSX3"																					
"MED24"			"DIRAS1"	"DIRAS1"	"ABRAXAS2"																					
"IYD"			"CNTD1"	"CNTD1"	"HPRT1"																					
"ETV7"			"BDNF"	"BDNF"	"BTNL9"																					
"QPCTL"			"PFN4"	"PFN4"	"PRAP1"																					
"PGM3"			"CDK5R1"	"CDK5R1"	"TCP11L2"																					
"COX15"			"C8G"	"C8G"	"SPATA19"																					
"TTC27"			"IFNW1"	"IFNW1"	"IKBIP"																					
"OSBPL5"			"TALDO1"	"TALDO1"	"ZFYVE19"																					
"FHL1"			"RPS6KA3"	"RPS6KA3"	"BAG5"																					
"NCAPH2"			"MAGEF1"	"MAGEF1"	"COPS2"																					
"B4GALT7"			"ACAD9"	"ACAD9"	"TMEM100"																					
"USP2"			"CD151"	"CD151"	"NETO1"																					
"HOXC8"			"HNRNPA0"	"HNRNPA0"	"WEE1"																					
"TLL1"			"RIC8A"	"RIC8A"	"NDEL1"																					
"PNKP"			"IMP3"	"IMP3"	"CIAO2B"																					
"PSMA4"			"ASB8"	"ASB8"	"CFAP52"																					
"PARP3"			"TSSK6"	"TSSK6"	"GOLM2"																					
"AIFM2"			"SPINK6"	"SPINK6"	"PEX11A"																					
"MED17"			"COX14"	"COX14"	"TMEM170A"																					
"RETSAT"			"UCN3"	"UCN3"	"ANPEP"																					
"GUCA1A"			"GTPBP6"	"GTPBP6"	"NAB2"																					
"CELF2"			"CD300LB"	"CD300LB"	"STX3"																					
"ARHGEF5"			"AURKB"	"AURKB"	"PIP4K2C"																					
"AKR7A2"			"TMEM107"	"TMEM107"	"MS4A15"																					
"ANAPC4"			"FAM133A"	"FAM133A"	"MAPRE2"																					
"SDCCAG8"			"DPM3"	"DPM3"	"TMEM92"																					
"HPF1"			"ALOXE3"	"ALOXE3"	"C15orf39"																					
"IL17RB"			"EDC3"	"EDC3"	"KATNAL2"																					
"SLC2A3"			"RAB39A"	"RAB39A"	"TEPSIN"																					
"MED29"			"CLK3"	"CLK3"	"PRRT2"																					
"LIMCH1"			"DNAJB8"	"DNAJB8"	"NFKBID"																					
"EYA2"			"ALOX15B"	"ALOX15B"	"LAIR1"																					
"ANKRD44"			"OR3A1"	"OR3A1"	"SPINT2"																					
"TBC1D22B"			"C11orf71"	"C11orf71"	"C19orf33"																					
"CDK13"			"MRPL14"	"MRPL14"	"ATCAY"																					
"MTHFD2"			"TRAPPC5"	"TRAPPC5"	"EEF2"																					
"ELAVL1"			"CFAP65"	"CFAP65"	"UBXN6"																					
"IP6K2"			"MAB21L2"	"MAB21L2"	"GPT"																					
"RASGRP2"			"FDCSP"	"FDCSP"	"KLK13"																					
"GAL"			"SLX1B"	"SLX1B"	"TEKT1"																					
"PLA2G10"			"CIMAP1D"	"CIMAP1D"	"ATP5PD"																					
"PFN2"			"MRPS11"	"MRPS11"	"RAB3IL1"																					
"JMJD6"			"MRPS16"	"MRPS16"	"PBK"																					
"NDST1"			"UBE2E2"	"UBE2E2"	"DDIT4"																					
"CAMK2A"			"ADI1"	"ADI1"	"RBPJ"																					
"WDR1"			"RPS17"	"RPS17"	"UBTD2"																					
"FAM50A"			"CRIP2"	"CRIP2"	"FOXI1"																					
"CYBRD1"			"RGS7"	"RGS7"	"IRF2"																					
"RDH11"			"COA5"	"COA5"	"PPDPFL"																					
"MRPS34"			"PSMG1"	"PSMG1"	"CDKN2AIP"																					
"MYDGF"			"KLRC4"	"KLRC4"	"MUCL3"																					
"MARK3"			"SETD3"	"SETD3"	"AHCYL1"																					
"UNG"			"HMCES"	"HMCES"	"TSPY2"																					
"JADE1"			"HOATZ"	"HOATZ"	"NSG1"																					
"UBE2A"			"LHFPL6"	"LHFPL6"	"CTRB1"																					
"RUNX1T1"			"AIFM3"	"AIFM3"	"MFF"																					
"LXN"			"FAM3B"	"FAM3B"	"ROR2"																					
"SP140"			"ST6GALNAC3"	"ST6GALNAC3"	"AFAP1L2"																					
"RAPGEF3"			"ADAP2"	"ADAP2"	"CD2BP2"																					
"DUSP13B"			"FAM120C"	"FAM120C"	"RGS14"																					
"KEAP1"			"NIPSNAP1"	"NIPSNAP1"	"PRELID1"																					
"RFX3"			"SNRNP35"	"SNRNP35"	"CRADD"																					
"EXD2"			"PTP4A3"	"PTP4A3"	"HINT1"																					
"DELE1"			"F8"	"F8"	"INO80E"																					
"RNF13"			"CA13"	"CA13"	"GKN1"																					
"SLC25A24"			"RPS27L"	"RPS27L"	"RAMAC"																					
"AKR1B1"			"KIAA0825"	"KIAA0825"	"APLF"																					
"MTMR2"			"CDK10"	"CDK10"	"AGPAT2"																					
"SRRT"			"TNFAIP8L1"	"TNFAIP8L1"	"LIMS1"																					
"OGFOD1"			"SMYD3"	"SMYD3"	"MAP3K2"																					
"REM1"			"TMT1A"	"TMT1A"	"CNTROB"																					
"EPB41L1"			"MRPL40"	"MRPL40"	"UBE2E1"																					
"C3orf18"			"LYG2"	"LYG2"	"SIK2"																					
"CMTM1"			"KCNIP4"	"KCNIP4"	"FABP6"																					
"MAEA"			"WDR53"	"WDR53"	"USP47"																					
"SPG21"			"NAT8L"	"NAT8L"	"MRAP"																					
"RAPGEF4"			"CCDC190"	"CCDC190"	"GON7"																					
"HNRNPC"			"ATP6V0C"	"ATP6V0C"	"CST2"																					
"TGM1"			"PRR30"	"PRR30"	"EMB"																					
"AAAS"			"CYP4Z1"	"CYP4Z1"	"SGCD"																					
"CRAT"			"CENATAC"	"CENATAC"	"CAVIN4"																					
"NANS"			"KDM4D"	"KDM4D"	"CDCA4"																					
"CYP26A1"			"PRELID2"	"PRELID2"	"DYDC1"																					
"HSD3B7"			"C17orf58"	"C17orf58"	"NDUFA3"																					
"BCL7C"			"PDZD7"	"PDZD7"	"DDI1"																					
"MAPK1"			"POFUT2"	"POFUT2"	"INSR"																					
"EIF3L"			"SIRT7"	"SIRT7"	"MFN1"																					
"HMOX1"			"ERAS"	"ERAS"	"TADA3"																					
"TSPO"			"TMEM203"	"TMEM203"	"CLDN20"																					
"RASD2"			"TCEA1"	"TCEA1"	"KRT15"																					
"KIAA0930"			"MCRS1"	"MCRS1"	"TPPP"																					
"RANGAP1"			"FANCM"	"FANCM"	"KRT20"																					
"CNIH1"			"NRN1L"	"NRN1L"	"MCC"																					
"SERPINA4"			"SMTNL2"	"SMTNL2"	"PIK3CD"																					
"ZFYVE21"			"DCUN1D3"	"DCUN1D3"	"ENC1"																					
"CINP"			"FAM72B"	"FAM72B"	"SPSB1"																					
"EMC9"			"S100A16"	"S100A16"	"PLEKHG5"																					
"PSME2"			"ZDHHC11"	"ZDHHC11"	"VAT1L"																					
"PCIF1"			"RPL14"	"RPL14"	"PAH"																					
"TRPC4AP"			"LRRK2"	"LRRK2"	"SYCE1"																					
"RAB5IF"			"TRMT2B"	"TRMT2B"	"SLFNL1"																					
"DOK5"			"ADAT2"	"ADAT2"	"PWWP2B"																					
"DIDO1"			"NDUFA4"	"NDUFA4"	"ANGPTL7"																					
"PTK6"			"H1-0"	"H1-0"	"MLLT3"																					
"TRIB3"			"TMEM120A"	"TMEM120A"	"FAM90A1"																					
"SEC23B"			"S100A13"	"S100A13"	"TRAPPC12"																					
"MAPRE1"			"S100A14"	"S100A14"	"CYP4F11"																					
"PXMP4"			"ZNF79"	"ZNF79"	"DRC3"																					
"ACOT8"			"GIMAP5"	"GIMAP5"	"EIF2AK3"																					
"APMAP"			"ELAVL3"	"ELAVL3"	"CERS6"																					
"LIPG"			"PTPN1"	"PTPN1"	"CSDC2"																					
"CSTF2"			"FGF16"	"FGF16"	"CFAP53"																					
"NXT2"			"XRCC2"	"XRCC2"	"KLHL6"																					
"XIAP"			"MMP1"	"MMP1"	"MRPL52"																					
"FMR1"			"ADH1B"	"ADH1B"	"WASHC2C"																					
"SLC35A2"			"HRH1"	"HRH1"	"TMEM134"																					
"PGK1"			"IFT70B"	"IFT70B"	"GARIN2"																					
"ZDHHC15"			"AMZ2"	"AMZ2"	"PSME3IP1"																					
"LYRM1"			"VKORC1L1"	"VKORC1L1"	"MAP3K11"																					
"CCL22"			"H2AC13"	"H2AC13"	"DAB1"																					
"CCL17"			"S100A2"	"S100A2"	"RNASE11"																					
"HCFC1R1"			"H2BC26"	"H2BC26"	"MOB1B"																					
"MPG"			"WDR45"	"WDR45"	"CHD2"																					
"HAGHL"			"METTL9"	"METTL9"	"CCDC106"																					
"CRYM"			"ZSCAN26"	"ZSCAN26"	"LRFN4"																					
"CLUAP1"			"ZNF165"	"ZNF165"	"AGFG1"																					
"AQP9"			"MRPL21"	"MRPL21"	"JUP"																					
"RASL12"			"DIO3"	"DIO3"	"ENDOV"																					
"FAH"			"GYPE"	"GYPE"	"RNF213"																					
"ZFAND1"			"RAB40C"	"RAB40C"	"MARCHF10"																					
"NCALD"			"RPS26"	"RPS26"	"PHC3"																					
"ECH1"			"RPL37A"	"RPL37A"	"SWSAP1"																					
"RETN"			"HOXC6"	"HOXC6"	"GNG5"																					
"VRK3"			"CFD"	"CFD"	"EXO1"																					
"SLC1A6"			"INKA2"	"INKA2"	"PELI3"																					
"CLIP3"			"GPAA1"	"GPAA1"	"IL20RB"																					
"CD79A"			"RPL12"	"RPL12"	"BRMS1"																					
"ICAM4"			"MBP"	"MBP"	"BTC"																					
"CDC37"			"HIBCH"	"HIBCH"	"PDZK1"																					
"SYNGR4"			"NTRK1"	"NTRK1"	"PDE12"																					
"CAPS"			"TCAF1"	"TCAF1"	"NDUFA11"																					
"LENG1"			"ZNF808"	"ZNF808"	"RSRC1"																					
"COPE"			"TMA16"	"TMA16"	"FUT1"																					
"DDX49"			"DDX39B"	"DDX39B"	"KLC2"																					
"NAMPT"			"SH2D1B"	"SH2D1B"	"CTBP2"																					
"PON3"			"STK39"	"STK39"	"UBE2C"																					
"GSDME"			"TAFA2"	"TAFA2"	"SPSB4"																					
"HOXA1"			"PAPSS2"	"PAPSS2"	"DCTN2"																					
"HIBADH"			"ECI2"	"ECI2"	"CENPS"																					
"GRB10"			"SMURF1"	"SMURF1"	"PHYKPL"																					
"ABHD11"			"MTOR"	"MTOR"	"PTPN2"																					
"BUD31"			"MAGEB3"	"MAGEB3"	"CLCF1"																					
"ZKSCAN1"			"SFT2D1"	"SFT2D1"	"UBQLNL"																					
"SERPINE1"			"CD247"	"CD247"	"P2RY2"																					
"BLVRA"			"OPA1"	"OPA1"	"TOM1L2"																					
"URGCP"			"C1orf174"	"C1orf174"	"ETV4"																					
"PRKAG2"			"SPOUT1"	"SPOUT1"	"BAIAP2"																					
"YKT6"			"CSAG1"	"CSAG1"	"TMEM270"																					
"CORO2A"			"KIFBP"	"KIFBP"	"LYSMD3"																					
"AMBP"			"EFCAB2"	"EFCAB2"	"JAKMIP2"																					
"PDLIM1"			"FANK1"	"FANK1"	"KCNE5"																					
"GATA3"			"DDO"	"DDO"	"ACBD7"																					
"PHYH"			"LIME1"	"LIME1"	"CRLF3"																					
"PALD1"			"RTL8A"	"RTL8A"	"TYMS"																					
"MICU1"			"HLA-DRA"	"HLA-DRA"	"SHMT1"																					
"BMPR1A"			"SDHD"	"SDHD"	"SEC24C"																					
"CRYBA1"			"MCCD1"	"MCCD1"	"MTHFR"																					
"DHX40"			"MRPS18B"	"MRPS18B"	"EPS8L2"																					
"SLC25A11"			"GNL1"	"GNL1"	"GATD1"																					
"SYNGR2"			"AKT1S1"	"AKT1S1"	"LRRN4CL"																					
"CYTH1"			"PSENEN"	"PSENEN"	"NAP1L5"																					
"PSMD11"			"MT1M"	"MT1M"	"ERICH5"																					
"GALNT7"			"SMIM11"	"SMIM11"	"ARIH2"																					
"DNAJC4"			"TECRL"	"TECRL"	"RABEP2"																					
"TMEM109"			"GAGE1"	"GAGE1"	"RPLP2"																					
"VWF"			"TSSK2"	"TSSK2"	"TEX44"																					
"VPS29"			"SELENOH"	"SELENOH"	"NAALADL2"																					
"HCFC2"			"DYNLT2B"	"DYNLT2B"	"NECTIN3"																					
"MAK"			"CRIP1"	"CRIP1"	"CHID1"																					
"RNGTT"			"TCL1B"	"TCL1B"	"GRAMD1C"																					
"MAPK14"			"ANKRD39"	"ANKRD39"	"SLITRK1"																					
"FAM120B"			"QTRT1"	"QTRT1"	"P4HTM"																					
"GMDS"			"ADAT3"	"ADAT3"	"SLC25A20"																					
"HBEGF"			"ATP6V1G2"	"ATP6V1G2"	"EPM2AIP1"																					
"TARS1"			"GTF2H4"	"GTF2H4"	"CSRNP3"																					
"CPEB4"			"KLRK1"	"KLRK1"	"ZHX2"																					
"ARL6"			"UBD"	"UBD"	"GAK"																					
"PCCB"			"CSNK1E"	"CSNK1E"	"RMI1"																					
"RBP1"			"CCL27"	"CCL27"	"EXD1"																					
"PRKAR2A"			"TSPAN4"	"TSPAN4"	"LDLRAD3"																					
"GNAI2"			"TBC1D26"	"TBC1D26"	"TMEM31"																					
"CYB561D2"			"VPS16"	"VPS16"	"CDC42EP4"																					
"CEP15"			"TMEM242"	"TMEM242"	"PDXDC1"																					
"UMPS"			"CKLF"	"CKLF"	"SEPHS2"																					
"ZAP70"			"MAGEA3"	"MAGEA3"	"BBS10"																					
"ACTR3"			"FAM200A"	"FAM200A"	"PTGR3"																					
"EPB41L5"			"C19orf73"	"C19orf73"	"WFDC11"																					
"CLIP4"			"GPX5"	"GPX5"	"SEPTIN1"																					
"EVA1A"			"NOL7"	"NOL7"	"FGD6"																					
"PECR"			"POTEB2"	"POTEB2"	"HCLS1"																					
"STK16"			"RPS18"	"RPS18"	"SERTM1"																					
"ORC4"			"TAPBP"	"TAPBP"	"PCGF5"																					
"TIA1"			"MCTS1"	"MCTS1"	"SPEM1"																					
"MARK1"			"JRK"	"JRK"	"RTKN2"																					
"LRRC42"			"TXNDC5"	"TXNDC5"	"RGMA"																					
"MRPL37"			"MRPS17"	"MRPS17"	"IZUMO1"																					
"MECR"			"KRTAP13-3"	"KRTAP13-3"	"KPNA2"																					
"ATP5PB"			"PEDS1"	"PEDS1"	"CEP97"																					
"WARS2"			"ATP5MF"	"ATP5MF"	"TSKU"																					
"UAP1"			"CORT"	"CORT"	"C1orf116"																					
"CDK18"			"ATP5PO"	"ATP5PO"	"PCP4"																					
"GALE"			"TCP10L"	"TCP10L"	"ABAT"																					
"AKR1A1"			"MRPL20"	"MRPL20"	"CAMK1D"																					
"NSL1"			"DECR2"	"DECR2"	"DAZAP2"																					
"RPA2"			"NAA80"	"NAA80"	"GBP6"																					
"PPP1R8"			"ACY1"	"ACY1"	"FHL3"																					
"APOA1"			"NFS1"	"NFS1"	"VPS33B"																					
"SGK1"			"ABHD14A"	"ABHD14A"	"NR2C2AP"																					
"GHRH"			"PDCD6"	"PDCD6"	"PPP1R2"																					
"LDAH"			"DCANP1"	"DCANP1"	"TSSC4"																					
"NEK6"			"DPP3"	"DPP3"	"SRPK3"																					
"IFI27L2"			"COA8"	"COA8"	"SPATA32"																					
"BBOF1"			"POLG2"	"POLG2"	"TMEM255B"																					
"ABCD4"			"LSM14A"	"LSM14A"	"HDDC3"																					
"ESRRB"			"TIMM23"	"TIMM23"	"BEX5"																					
"YPEL5"			"CGB1"	"CGB1"	"CEND1"																					
"HOXB5"			"RASL10B"	"RASL10B"	"SEPTIN9"																					
"GRIA2"			"SNURF"	"SNURF"	"ODF4"																					
"SEC16B"			"H4C9"	"H4C9"	"RNLS"																					
"PLXDC2"			"H2BC3"	"H2BC3"	"PRR16"																					
"MYOT"			"RAB7B"	"RAB7B"	"TCEAL2"																					
"NR2C1"			"ZNF8"	"ZNF8"	"FMNL1"																					
"SOCS2"			"SCO2"	"SCO2"	"UBOX5"																					
"DUSP4"			"TARP"	"TARP"	"NELFA"																					
"PDLIM2"			"LAP3"		"ADSS1"																					
"RNF170"			"LASP1"		"TCEAL9"																					
"COPS5"			"AK2"		"CIMIP4"																					
"TRMT1L"			"NDUFAB1"		"HGS"																					
"CRY2"			"SKAP2"		"RAD51D"																					
"GJB6"			"LIG3"		"AHNAK2"																					
"PAEP"			"CIAPIN1"		"PCYT2"																					
"MRPS2"			"TMEM98"		"BCAP31"																					
"IFT81"			"MAP3K14"		"CCIN"																					
"TSFM"			"USH1C"		"NDUFA13"																					
"CDK2"			"CEACAM21"		"CD300LF"																					
"KCNJ2"			"GAS7"		"PCLO"																					
"AGO2"			"SPAG9"		"ERCC6L"																					
"ENKD1"			"ZNF207"		"CYP4A11"																					
"PARD6B"			"SLC6A13"		"SHTN1"																					
"NAGK"			"ANLN"		"RSBN1L"																					
"SERPINB6"			"CALCOCO1"		"FAM9C"																					
"CPNE5"			"RALBP1"		"DHRS4L2"																					
"TEKT3"			"RUFY3"		"PLSCR3"																					
"MED1"			"NLRP2"		"PABIR1"																					
"KLC1"			"STRAP"		"ARL4C"																					
"KRT36"			"NR1H3"		"MAPK12"																					
"CSN1S1"			"CD44"		"PLSCR1"																					
"STATH"			"SH2D2A"		"BLOC1S5"																					
"AHDC1"			"SNX1"		"NOC2L"																					
"MAP2K2"			"FAM13B"		"DUSP21"																					
"RGS13"			"ZCCHC8"		"SF3B3"																					
"RAB3IP"			"MAP2K3"		"DRICH1"																					
"CRYGN"			"TMSB10"		"GJB4"																					
"FBXL12"			"GABARAPL2"		"PPIA"																					
"CDC42EP1"			"FAM136A"		"GTF2IRD2"																					
"RNF112"			"TBC1D23"		"STK31"																					
"PRKRIP1"			"ZZZ3"		"ZKSCAN7"																					
"CHN1"			"RAI14"		"THEM5"																					
"ORMDL1"			"PNKP"		"MYL6B"																					
"PSMG2"			"SPATA7"		"ARL9"																					
"TWSG1"			"LCP2"		"TCEAL3"																					
"WDFY4"			"CTNNA1"		"HSH2D"																					
"CCDC32"			"EPHA3"		"DAPK1"																					
"IVD"			"DTNBP1"		"HLA-DQA1"																					
"ARPP19"			"SCML1"		"ILRUN"																					
"TPH1"			"MAP4"		"KPNA5"																					
"CSRP3"			"ROS1"		"CASP4"																					
"PIMREG"			"MAPK9"		"SND1"																					
"RPAIN"			"HOMER3"		"NOL4L"																					
"NEDD8"			"FAM114A2"		"CYSRT1"																					
"ABHD17A"			"SERPINB3"		"IL27"																					
"PHF10"			"GDI2"		"LRP10"																					
"RTN4IP1"			"RIOK2"		"ZNF695"																					
"ACTN4"			"MXD1"		"GZMM"																					
"SAMD10"			"VMP1"		"KRTAP26-1"																					
"HSD17B3"			"MED29"		"PARVA"																					
"UBA1"			"SNCAIP"		"OCLN"																					
"CAPN7"			"MYLK"		"ADH5"																					
"PDLIM4"			"SNAP91"		"IRAK4"																					
"BARX1"			"SLK"		"MRPL42"																					
"CCT6B"			"GSTO2"		"MAK16"																					
"RAMP1"			"PDE4A"		"NUP62CL"																					
"RPA1"			"CD84"		"MB"																					
"SLC52A1"			"IDI1"		"DDX42"																					
"SYT4"			"PKM"		"RPL23A"																					
"VCF1"			"RRP15"		"OGA"																					
"ZNF414"			"IARS2"		"KCNRG"																					
"CNDP2"			"IFI35"		"CCDC69"																					
"TMEM254"			"GPKOW"		"EIF1AY"																					
"IMPA1"			"NUP133"		"LDB1"																					
"ZFC3H1"			"KCNAB2"		"GPATCH3"																					
"MRO"			"ZXDC"		"RCSD1"																					
"CDK7"			"JMJD6"		"TYW1"																					
"MEIS2"			"TCOF1"		"PNMA5"																					
"GSTM3"			"OSBPL3"		"PRMT6"																					
"PPHLN1"			"RAD18"		"PRC1"																					
"DTNA"			"NCK2"		"MAP3K3"																					
"C5AR2"			"ATP6AP1"		"MFAP3L"																					
"PDGFRA"			"RPS6KA6"		"FCGR3A"																					
"ANXA1"			"PALS1"		"TCEAL5"																					
"CTSL"			"FBXW11"		"NEU4"																					
"PSAT1"			"ACAP1"		"TRAF3IP1"																					
"HILPDA"			"NDE1"		"RING1"																					
"SRPK2"			"SDHA"		"PSMB8"																					
"BLOC1S1"			"PTGS2"		"TAP2"																					
"TEC"			"PICALM"		"AIF1"																					
"CCT7"			"TEAD2"		"LST1"																					
"GLUL"			"TUBE1"		"DHX16"																					
"DNAJB2"			"TIPIN"		"ABCF1"																					
"EIF4E2"			"TTC38"		"LGALS7"																					
"SPRY2"			"ADD2"		"SARNP"																					
"KAT7"			"ANKRD13A"		"SMN2"																					
"IL36G"			"NMRK2"		"HTN3"																					
"IL1RN"			"EXOSC5"		"DOK6"																					
"IL36B"			"POLD3"		"DIO1"																					
"WDR33"			"ACTN2"		"TSSK1B"																					
"ANGPTL2"			"FGFR1"		"DENND1B"																					
"SLC31A1"			"TULP3"		"CHUK"																					
"KIF12"			"PCM1"		"HAUS3"																					
"RABEPK"			"CLUL1"		"ZBED1"																					
"DERL1"			"RUNX1T1"		"MTCP1"																					
"RANBP6"			"MKNK1"		"GAGE12G"																					
"BPHL"			"PAFAH1B3"		"TAFA5"																					
"ATAT1"			"DNM2"		"VAMP2"																					
"TPMT"			"DNAAF6"		"TIGD1"																					
"IL18BP"			"DLG3"		"PPT2"																					
"PRCP"			"RNF13"		"VPS52"																					
"NARS2"			"PIBF1"		"CT47A11"																					
"PI15"			"PPIE"		"LTB"																					
"TTPA"			"KIF3C"		"ZNF688"																					
"RTF1"			"AK6"		"GK3"																					
"MFSD13A"			"MECOM"		"ACBD6"																					
"ANXA7"			"CTTN"		"PAGE2"																					
"SEC31A"			"DDHD2"		"OR10G8"																					
"BBS7"			"NME8"		"IFNA17"																					
"BMPR1B"			"SEPHS1"		"CASTOR1"																					
"BMP2K"			"MRPL28"		"PCDHGC3"																					
"GUCD1"			"ERO1B"		"PPIL3"																					
"RBP5"			"PIGS"		"C1QTNF9"																					
"PHLDA1"			"PSMC5"		"PCDHGC5"																					
"SLAIN1"			"SH3BP2"		"YAE1"																					
"FITM1"			"CASS4"		"HOGA1"																					
"DCAF5"			"GNA11"		"HYPK"																					
"TLE3"			"CHGB"		"ARHGDIG"																					
"HMG20A"			"OTUB2"		"ARFGAP3"																					
"TPM1"			"NECAP1"		"AP5Z1"																					
"CYP1A2"			"ARHGAP4"		"KCTD7"																					
"RLBP1"			"BLVRB"		"IL10RB"																					
"CPNE2"			"PAPOLA"		"DBNDD2"																					
"CMTM3"			"NUDC"		"ETV5"																					
"RETREG3"			"TFAP4"		"UBE2V1"																					
"GRB7"			"FLT3LG"		"CRYBB2"																					
"SCYL1"			"OSBPL8"		"EEF1G"																					
"ZNF593"			"ZC3HC1"		"BORCS8"																					
"WDTC1"			"PSME1"		"CARD18"																					
"MOB3C"			"SNAP23"		"POLR2M"																					
"C1orf162"			"TEKT2"		"DNAAF4"																					
"NME7"			"NUP50"		"TEN1"																					
"RXRG"			"CDC45"		"C17orf49"																					
"ANP32E"			"ADA2"		"BOP1"																					
"TPM3"			"ECHDC1"		"PECAM1"																					
"SLC39A1"			"CBX5"		"OTUD7B"																					
"GUK1"			"DHPS"		"GJA5"																					
"PTPN7"			"SIRT1"		"FSBP"																					
"TRIM43"			"ABL1"		"NCOA4"																					
"DUSP11"			"SH3GLB1"		"HEATR9"																					
"CDCA7"			"STX1B"		"MUSTN1"																					
"TRPM8"			"KLHL22"		"PCDHB16"																					
"SLC25A26"			"SNAP29"		"NOL12"																					
"ATG3"			"SUSD2"		"HNF1B"																					
"OSBPL11"			"SEC14L2"		"AATF"																					
"AMT"			"PPIL2"		"CCL3L3"																					
"TBCK"			"GRK3"		"SRCIN1"																					
"CAMK2D"			"PICK1"		"PAGR1"																					
"MARCHF1"			"FBXO7"		"PRRC2B"																					
"PDGFC"			"RHBDD3"		"CAST"																					
"SRD5A1"			"PACSIN2"																							
"IL9"			"TOM1"																							
"FGD2"			"MCAT"																							
"ZC3HAV1L"			"ASCC2"																							
"PLPP5"			"PNPLA3"																							
"GSN"			"TXN2"																							
"MRRF"			"PVALB"																							
"GBGT1"			"RANGAP1"																							
"LRSAM1"			"PYGL"																							
"DPH7"			"PSMC6"																							
"MTG1"			"EIF5"																							
"CELF1"			"PSMC1"																							
"CAPN5"			"EFS"																							
"C11orf52"			"DCAF11"																							
"DUSP15"			"NFKBIA"																							
"SLC22A9"			"CD40"																							
"TRPT1"			"HNF4A"																							
"CLEC1A"			"STK4"																							
"NGLY1"			"CSTF1"																							
"TMEM18"			"TPD52L2"																							
"QTRT2"			"GID8"																							
"IGSF10"			"NKAIN4"																							
"PANK1"			"SEC23B"																							
"ZDHHC7"			"KIF3B"																							
"SPMIP4"			"MAPRE1"																							
"FBXO36"			"JAG1"																							
"WNT3A"			"SYNDIG1"																							
"NCAM2"			"USP14"																							
"PLCL2"			"VAPA"																							
"DBI"			"SRPX"																							
"VSIG4"			"SYP"																							
"COX6A2"			"PLS3"																							
"NMNAT2"			"ASB9"																							
"DDX19B"			"PPP1R2C"																							
"CCNB2"			"SRPX2"																							
"ERG"			"TSC22D1"																							
"PEX10"			"SMPD3"																							
"RIBC1"			"HCFC1R1"																							
"F11R"			"MPG"																							
"NPM2"			"NECAB2"																							
"CSRP1"			"ZNF174"																							
"KCNE2"			"CLUAP1"																							
"PLA2G4D"			"HOMER2"																							
"ALDH4A1"			"DTWD1"																							
"THEM4"			"CSPP1"																							
"TMEM234"			"CA2"																							
"UBE2J2"			"STK3"																							
"CILP2"			"STMN2"																							
"TMPRSS3"			"SNX16"																							
"TRAPPC10"			"ERI1"																							
"BRSK1"			"FGL1"																							
"COX6B2"			"ASAH1"																							
"CHTOP"			"DHDH"																							
"UBQLN4"			"CGB3"																							
"LY6E"			"SARS2"																							
"VPS28"			"STX10"																							
"TMEM143"			"DMPK"																							
"ALDH16A1"			"C19orf44"																							
"PARS2"			"SYDE1"																							
"UBXN10"			"PDCD5"																							
"GBP2"			"DYRK1B"																							
"PEX19"			"PLD3"																							
"TFB2M"			"FSD1"																							
"MEMO1"			"PRKD2"																							
"SCNM1"			"CDC37"																							
"PPM1L"			"SIGLEC6"																							
"IL17RE"			"GCDH"																							
"DNAJC5G"			"GAPDHS"																							
"TPRA1"			"ERF"																							
"ZNF691"			"RUNDC3B"																							
"METAP1"			"CDK6"																							
"ETNPPL"			"DNAJB6"																							
"FBXO8"			"FKBP14"																							
"PRMT9"			"CHCHD2"																							
"CMBL"			"PDAP1"																							
"NDUFS4"			"TAF6"																							
"RHOBTB3"			"WASL"																							
"CCDC127"			"PPP1R17"																							
"PDSS2"			"PRUNE2"																							
"DEFA5"			"OGN"																							
"TMUB1"			"TLE4"																							
"COX6C"			"CDC37L1"																							
"NUDT2"			"UBE2R2"																							
"SYK"			"HPS1"																							
"ANKS6"			"SEC23IP"																							
"NLGN4Y"			"ATE1"																							
"NDUFB6"			"NSMCE4A"																							
